flag,year banded,banding location,year resighted
AU,2016,McVeigh Marsh,2017
AV,2016,McVeigh Marsh,"2017, 2018"
AA,2016,Hillberg Lake,
AK,2016,Otter Lake South,"2017, 2018"
AL,2016,Otter Lake South,2017
AC,2016,Otter Lake North,
AE,2016,Otter Lake North,"2017, 2018, 2020"
AH,2016,Otter Lake North,2018
AJ,2016,Otter Lake North,2018
AX,2016,Otter Lake South,"2017, 2018"
AY,2016,Clunie South,2018
CA,2016,Clunie South,
AM,2017,Ammo Country,
AN,2017,Otter Lake North,2018
AP,2017,Otter Lake North,2018
AT,2017,Otter Lake North,2018
CC,2017,Otter Lake North,"2018, 2020"
EP,2017,Otter Lake South,
CH,2017,Otter Lake South,"2018, 2020"
CJ,2017,Otter Lake South,"2018, 2019"
EC,2017,Otter Lake North,2018
EE,2017,Otter Lake North,
EH,2017,Otter Lake North,2018
EJ,2017,Otter Lake North,2018
EK,2017,Lower Sixmile Lake,"2018, 2020"
EL,2017,Lower Sixmile Lake,
EM,2017,Lower Sixmile Lake,"2018, 2019, 2020"
EN,2017,Otter Lake North,2018
ET,2017,Bebee Lake,
EU,2017,Otter Lake South,"2018, 2019"
EV,2017,Otter Lake North,
CU,2018,Web Pond,
CV,2018,Ammo Country,
CX,2018,Web Pond,
CT,2018,Bebee Lake,
HA,2018,Otter Lake North,
HC,2018,Otter Lake North,
HE,2018,Otter Lake North,
HH,2018,Otter Lake North,
HJ,2018,Bebee Lake,
HL,2018,Otter Lake North,2019
HM,2018,Otter Lake South,
HP,2018,Otter Lake North,2019
HT,2018,Otter Lake South,
HU,2018,Otter Lake North,
HV,2018,Otter Lake North,
JJ,2018,Otter Lake North,
JK,2018,Otter Lake North,
JL,2018,Otter Lake North,
JM,2018,Otter Lake South,
JN,2018,Web Pond,
JU,2018,Lower Sixmile Lake,
MA,2019,Ammo Country,
MC,2019,Route Bravo,
ME,2019,Route Bravo,
MJ,2019,Web Pond,
ML,2019,Ammo Country,2020
MM,2019,Ammo Country,
MP,2019,Ammo Country,2020
MT,2019,Ammo Country,2020
MU,2019,Ammo Country,
MV,2019,Otter Lake North,
UA,2020,Ammo Country,
UC,2020,Dena'ina Road,
UE,2020,Dena'ina Road,
UH,2020,Ammo Country,
UJ,2020,Ammo Country,
UK,2020,Ammo Country,
UL,2020,Route Bravo,
UM,2020,Route Bravo,
UP,2020,Web Pond,
UN,2020,Otter Lake North,
UT,2020,Otter Lake North,
UU,2020,Ammo Country,
UV,2020,Ammo Country,
UX,2020,Half Moon,
UY,2020,Half Moon,
PX,2020,Web Pond,
PY,2020,Fire Tower Road,
TA,2020,Fire Tower Road,
TC,2020,Eagle River Flats,
TE,2020,Eagle River Flats,
TH,2020,Eagle River Flats,
TJ,2020,Eagle River Flats,
TK,2020,Eagle River Flats,
TP,2020,Eagle River Flats,
TT,2020,Eagle River Flats,
TU,2020,Eagle River Flats,
TV,2020,Eagle River Flats,
TX,2020,Eagle River Flats,
TY,2020,Eagle River Flats,
XC,2020,Eagle River Flats,
