Species,Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Point 7,Point 8,Point 9,Point 10
Canada Goose,X,,X,,,,X,X,,X
American Wigeon,,,,,,,,,,X
Green-winged Teal,,,,,,,,,,X
Red-necked Grebe,X,,,,,,X,X,,X
Sandhill Crane,X,X,X,X,X,X,X,X,X,X
Short-billed Dowitcher,X,,,,,,,X,,X
Wilson's Snipe,,,,X,,,,,,
Lesser Yellowlegs,X,,,X,X,X,X,X,,X
Mew Gull,X,,X,,,,,,,
Common Loon,,,,,,,X,,,
American Three-toed Woodpecker,,,,X,,,,X,,X
Hairy Woodpecker,,,,,,,,X,,
Western Wood-Pewee,,,X,,,,,,,
Alder Flycatcher,X,,,,,,,,,
Canada Jay,X,,,,,,,,,
Black-capped Chickadee,,X,,,,,,,,
Boreal Chickadee,,,,,,,,X,,
Tree Swallow,,,,,,,,,,X
Golden-crowned Kinglet,,,,,,,,X,,
Ruby-crowned Kinglet,X,,X,X,X,X,X,X,X,X
Varied Thrush,,,,X,X,X,,X,X,
Swainson's Thrush,X,X,X,X,X,X,X,X,X,X
Hermit Thrush,,,,,,X,,,X,
American Robin,X,X,X,X,X,X,,X,X,X
Common Redpoll,X,,X,X,X,X,,X,X,X
Dark-eyed Junco,X,X,,,,,X,X,X,
Orange-crowned Warbler,X,,,,,X,,,X,
Yellow-rumped Warbler,X,X,X,X,X,X,,X,X,X
Wilson's Warbler,X,,X,X,,X,,X,,
